ID,FTF,OLA,OLS,HYA,HYS,HYF,8to10,10to12,12to3,3to5,5to8,timeblock,MWF,TR,MW,MF,oneday,online,resstatus,class,age,workstatus,major
98416386,4,1,4,6,6,6,3,1,3,5,5,2,,,1,,,1,1,1,2,2,26
98416392,2,1,3,4,5,6,5,2,1,3,4,2,5,3,,,,2,0,2,2,3,31
98416411,1,2,2,3,4,4,1,2,4,5,5,2,,3,1,2,,1,0,3,3,2,26
98416434,1,3,6,5,2,4,2,1,2,3,5,2,5,3,,,,2,0,2,2,2,14
98416457,1,3,2,5,4,6,2,1,3,4,5,3,5,,,,,2,1,4,2,3,4
98416462,1,2,5,3,4,6,5,2,1,4,5,1,,3,1,,,2,1,2,2,2,20
98416466,3,1,2,4,5,6,3,1,4,5,5,2,5,,,,,1,1,3,2,2,23
98416514,1,3,2,4,5,6,2,3,4,3,4,2,,3,1,,,2,1,4,2,2,26
98416542,1,2,3,4,5,6,5,1,3,5,5,3,5,3,,,,2,1,2,2,3,29
98416550,3,1,2,4,5,6,4,1,2,3,5,2,,,,2,,1,0,4,2,1,16
98416667,3,2,6,1,5,4,1,2,3,4,5,2,,3,1,2,,2,0,4,2,2,14
98416726,1,2,6,3,4,5,1,4,3,5,2,2,,3,,,,2,1,4,2,2,29
98416740,1,4,6,5,2,3,5,1,2,3,4,3,5,3,1,2,,2,1,4,2,3,16
98416745,2,3,5,4,6,1,4,1,2,3,5,3,5,,,,4,2,1,4,2,2,5
98416806,6,2,4,3,5,1,3,2,2,4,5,2,,3,1,,,2,1,3,2,3,19
98416811,3,1,2,3,3,3,5,2,1,2,4,2,,3,,,,1,1,3,3,2,26
98416967,6,1,2,5,4,3,5,5,3,3,2,2,5,,,2,,1,1,1,4,3,26
98417036,1,6,5,4,3,2,4,1,1,5,5,3,5,3,,,,2,0,2,2,2,14
98417094,1,2,6,5,4,3,2,2,3,4,5,3,5,3,,,,2,0,3,4,2,26
98417166,4,6,5,3,2,1,1,2,3,4,5,2,,3,1,,,2,0,3,5,3,9
98417191,6,3,5,1,2,1,2,1,1,4,5,3,5,3,,,4,2,0,2,2,3,8
98417194,3,4,2,5,1,6,4,1,1,4,4,3,5,,1,,,1,1,4,2,2,5
98417258,1,2,3,4,5,6,5,1,1,4,5,2,5,,1,,,1,1,3,2,2,22
98417273,1,2,6,3,4,5,1,2,3,4,5,1,5,3,,,,2,0,4,2,3,25
98417308,1,2,3,1,5,6,4,1,1,4,5,3,5,,,,,2,0,1,1,3,5
98417312,1,2,3,4,5,6,5,2,1,3,4,3,5,3,,,,2,1,2,2,2,5
98417385,1,3,5,4,6,2,1,2,3,4,5,3,5,3,,,,2,0,1,4,3,15
98417434,1,2,4,3,5,6,1,1,4,4,4,3,,3,1,,,1,0,1,1,3,5
98417458,1,2,6,3,5,4,3,1,1,5,5,2,,3,1,,,2,0,2,2,3,14
98417540,2,1,3,4,5,6,5,4,1,2,3,3,5,,,,,1,0,1,2,3,29
98417562,2,2,4,2,5,6,5,1,2,3,4,3,5,,,,,2,1,1,1,2,14
98417602,1,6,4,3,2,5,,,,,,,,,,,,,,,,,
98417618,1,3,5,2,4,6,3,1,2,4,5,2,5,3,1,2,,2,0,1,1,2,3
98417732,1,5,3,4,2,6,2,1,3,4,5,3,5,,,,,2,1,1,2,2,14
98417734,3,4,1,5,2,6,1,2,3,4,5,2,,3,1,,,2,0,4,4,1,14
98417750,1,2,5,4,6,3,4,3,1,2,5,1,,,1,,4,1,0,3,3,1,27
